   1.59063685     -0.918354571     -0.649374723    
   3.20456660E-12   1.83670914     -0.649374723    
   3.20460217E-12   3.20456812E-12   1.94812429    
           1          50           1
  0.142857149      0.142857149       0.00000000    
              (-16.176684529141433,0.0000000000000000)   1.0000000000000000     
     0     0     0  (   0.608693E-02 ,   0.529810E-02 )
     1     0     0  (   0.523619E-01 ,  -0.601639E-01 )
     2     0     0  (   0.372487E-01 ,  -0.416912E-01 )
     3     0     0  (   0.882391E-02 ,  -0.103027E-01 )
     4     0     0  (   0.212011E-03 ,  -0.370539E-03 )
     5     0     0  (  -0.106296E-03 ,   0.118137E-03 )
     6     0     0  (   0.382613E-04 ,  -0.461171E-04 )
    -6     0     0  (   0.481479E-04 ,  -0.546145E-04 )
    -5     0     0  (  -0.171266E-03 ,   0.211571E-03 )
    -4     0     0  (   0.106139E-02 ,  -0.104409E-02 )
    -3     0     0  (   0.145614E-01 ,  -0.166532E-01 )
    -2     0     0  (   0.519666E-01 ,  -0.613711E-01 )
    -1     0     0  (   0.721621E-01 ,  -0.816669E-01 )
     0     1     0  (   0.523619E-01 ,  -0.601639E-01 )
     1     1     0  (  -0.154803E-02 ,  -0.134829E-02 )
     2     1     0  (   0.519517E-02 ,  -0.125818E-01 )
     3     1     0  (   0.455252E-02 ,  -0.744154E-02 )
     4     1     0  (   0.564546E-03 ,  -0.732077E-03 )
     5     1     0  (  -0.113160E-03 ,   0.152955E-03 )
     6     1     0  (   0.355996E-04 ,  -0.379288E-04 )
    -6     1     0  (   0.281958E-04 ,  -0.283494E-04 )
    -5     1     0  (  -0.342481E-04 ,   0.425197E-04 )
    -4     1     0  (  -0.211589E-03 ,   0.265950E-03 )
    -3     1     0  (   0.672939E-02 ,  -0.749104E-02 )
    -2     1     0  (   0.394995E-01 ,  -0.434947E-01 )
    -1     1     0  (   0.890633E-01 ,  -0.959606E-01 )
     0     2     0  (   0.372487E-01 ,  -0.416912E-01 )
     1     2     0  (   0.519517E-02 ,  -0.125818E-01 )
     2     2     0  (  -0.367144E-02 ,  -0.319604E-02 )
     3     2     0  (   0.350006E-03 ,  -0.202193E-02 )
     4     2     0  (   0.205707E-03 ,  -0.143582E-03 )
     5     2     0  (  -0.695814E-04 ,   0.104153E-03 )
     6     2     0  (   0.196374E-04 ,  -0.209439E-04 )
    -5     2     0  (   0.607242E-04 ,  -0.726104E-04 )
    -4     2     0  (  -0.219571E-03 ,   0.234141E-03 )
    -3     2     0  (   0.417163E-03 ,  -0.472440E-03 )
    -2     2     0  (   0.105348E-01 ,  -0.114346E-01 )
    -1     2     0  (   0.340884E-01 ,  -0.366333E-01 )
     0     3     0  (   0.882391E-02 ,  -0.103027E-01 )
